Spreadsheet name,Total edges,Total formulae,Total nodes,TACO edges,TACO formulae,TACO nodes,Type0 edges,Type0 uncompressed edges,Type1 edges,Type1 uncompressed edges,Type2 edges,Type2 uncompressed edges,Type3 edges,Type3 uncompressed edges,Type4 edges,Type4 uncompressed edges,Type5 edges,Type5 uncompressed edges,Notype edges,Notype nodes,Deduplicated Edges
albert_meyers_000_1_1.pst.0.xls,571,413,984,59,45,89,0,0,50,549,0,0,0,0,6,18,1,2,2,2,571
albert_meyers_000_1_1.pst.1.xls,607,440,1047,61,47,93,0,0,52,585,0,0,0,0,6,18,1,2,2,2,607
andrea_ring_000_1_1.pst.0.xls,540,436,976,44,23,66,0,0,20,460,0,0,0,0,0,0,0,0,24,24,484
andrea_ring_000_1_1.pst.1.xls,52,31,83,33,31,58,8,16,5,10,0,0,0,0,1,2,1,2,18,18,48
andrea_ring_000_1_1.pst.12.xls,208,122,330,16,10,23,0,0,13,165,0,0,0,0,3,43,0,0,0,0,208
andrea_ring_000_1_1.pst.13.xls,224,130,354,17,11,25,0,0,14,177,0,0,0,0,3,47,0,0,0,0,224
andrea_ring_000_1_1.pst.14.xls,197,115,312,17,11,25,0,0,14,156,0,0,0,0,3,41,0,0,0,0,197
andrea_ring_000_1_1.pst.15.xls,61,39,100,16,10,23,0,0,13,50,0,0,0,0,3,11,0,0,0,0,61
andrea_ring_000_1_1.pst.16.xls,1257,475,1732,67,43,70,0,0,33,795,0,0,0,0,6,186,0,0,28,28,1009
andrea_ring_000_1_1.pst.17.xls,1257,475,1732,69,46,74,0,0,34,797,0,0,0,0,6,182,0,0,29,29,1008
andrea_ring_000_1_1.pst.40.xls,287,281,568,17,16,31,7,65,4,212,0,0,0,0,0,0,1,2,5,5,284
andrea_ring_000_1_1.pst.41.xls,664,513,1177,230,179,319,10,74,78,352,0,0,0,0,49,126,10,21,83,83,656
andrea_ring_000_1_1.pst.42.xls,27,11,38,27,11,29,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27
andrew_lewis_000_1_1.pst.1.xls,455,455,910,1,1,2,1,455,0,0,0,0,0,0,0,0,0,0,0,0,455
andrew_lewis_000_1_1.pst.12.xls,2023,968,2991,131,87,195,3,6,93,1643,0,0,0,0,0,0,3,6,32,32,1687
andrew_lewis_000_1_1.pst.3.xls,306,123,429,4,3,6,0,0,3,183,0,0,0,0,1,2,0,0,0,0,185
andrew_lewis_000_1_1.pst.39.xls,138,70,208,5,4,7,0,0,3,102,0,0,0,0,0,0,0,0,2,2,104
andrew_lewis_000_1_1.pst.40.xls,876,84,960,145,14,37,0,0,118,708,0,0,0,0,27,162,0,0,0,0,870
andy_zipper_000_1_1.pst.10.xls,500,398,898,94,70,146,0,0,69,470,0,0,2,4,0,0,3,6,20,20,500
andy_zipper_000_1_1.pst.103.xls,465,183,648,237,96,237,0,0,150,300,0,0,0,0,78,156,0,0,9,9,465
andy_zipper_000_1_1.pst.104.xls,8514,2250,10764,14,6,17,0,0,12,5382,0,0,0,0,2,1044,0,0,0,0,6426
