Sat 29 Jan 2022 01:40:35 PM PST: Finished testing enron_long2.xls: memOnly:true, ASync

Sat 29 Jan 2022 01:41:10 PM PST: Finished testing enron_long2.xls: memOnly:true, ASync

Sat 29 Jan 2022 01:41:43 PM PST: Finished testing enron_long2.xls: memOnly:true, ASync

Sat 29 Jan 2022 01:46:42 PM PST: Finished testing enron_long2.xls: memOnly:false, ASync

Sat 29 Jan 2022 01:51:35 PM PST: Finished testing enron_long2.xls: memOnly:false, ASync

Sat 29 Jan 2022 01:57:27 PM PST: Finished testing enron_long2.xls: memOnly:false, ASync

Sat 29 Jan 2022 02:03:25 PM PST: Finished testing enron_long3.xls: memOnly:true, ASync

Sat 29 Jan 2022 02:09:18 PM PST: Finished testing enron_long3.xls: memOnly:true, ASync

Sat 29 Jan 2022 02:15:11 PM PST: Finished testing enron_long3.xls: memOnly:true, ASync

Sat 29 Jan 2022 02:25:38 PM PST: Finished testing enron_long3.xls: memOnly:false, ASync

Sat 29 Jan 2022 02:36:40 PM PST: Finished testing enron_long3.xls: memOnly:false, ASync

Sat 29 Jan 2022 02:48:01 PM PST: Finished testing enron_long3.xls: memOnly:false, ASync

Mon 07 Feb 2022 12:44:21 PM PST: Finished testing enron_max3.xls: memOnly:true, Comp

Mon 07 Feb 2022 12:44:30 PM PST: Finished testing enron_max3.xls: memOnly:true, Comp

Mon 07 Feb 2022 12:44:39 PM PST: Finished testing enron_max3.xls: memOnly:true, Comp

Mon 07 Feb 2022 12:44:51 PM PST: Finished testing enron_max3.xls: memOnly:false, Comp

Mon 07 Feb 2022 12:45:03 PM PST: Finished testing enron_max3.xls: memOnly:false, Comp

Mon 07 Feb 2022 12:45:16 PM PST: Finished testing enron_max3.xls: memOnly:false, Comp

Mon 07 Feb 2022 12:45:52 PM PST: Finished testing enron_max3.xls: memOnly:true, PGImpl

Mon 07 Feb 2022 12:46:24 PM PST: Finished testing enron_max3.xls: memOnly:true, PGImpl

Mon 07 Feb 2022 12:47:16 PM PST: Finished testing enron_max3.xls: memOnly:true, PGImpl

Mon 07 Feb 2022 01:17:16 PM PST: Finished testing enron_max3.xls: memOnly:false, PGImpl

