File name,Formulae,Vertices,Edges,InRow Vertices,InRow Edges,TACO Vertices,TACO Edges,Max Dep Ref ,Max Dep,Longest Dep Ref,Longest Dep,RR-Chain-Comp,RR-Chain-NoComp,RR-Comp,RR-NoComp,RF-Comp,RF-NoComp,FR-Comp,FR-NoComp,FF-Comp,FF-NoComp,RR-GapOne,RR-GapOne-NoComp,RR-GapTwo,RR-GapTwo-NoComp,RR-GapThree,RR-GapThree-NoComp,RR-GapFour,RR-GapFour-NoComp,RR-GapFive,RR-GapFive-NoComp,RR-GapSix,RR-GapSix-NoComp,RR-GapSeven,RR-GapSeven-NoComp,NoType,NoType-NoComp
andrea_ring_000_1_1.pst.0.xls,436,919,488,692,362,70,48,Monthly HH Flows:S151,3,Monthly HH Flows:R155,2,0,0,20,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28
andrea_ring_000_1_1.pst.1.xls,33,56,54,56,54,62,34,Aug01:B13,6,dec01:B20,5,10,20,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19
andrea_ring_000_1_1.pst.12.xls,169,338,255,109,102,23,16,February 2000:C23,39,February 2000:C71,4,0,0,13,212,0,0,0,0,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andrea_ring_000_1_1.pst.13.xls,177,354,271,119,111,25,17,February 2000:C23,43,February 2000:C27,4,0,0,14,224,0,0,0,0,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andrea_ring_000_1_1.pst.14.xls,162,324,244,107,99,25,17,February 2000:C23,39,February 2000:C27,4,0,0,14,203,0,0,0,0,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andrea_ring_000_1_1.pst.15.xls,86,172,108,45,38,23,16,February 2000:C23,15,February 2000:C31,4,0,0,13,97,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andrea_ring_000_1_1.pst.16.xls,484,728,1009,246,379,68,58,POOL INV VOL:G4,227,POOL INV VOL:G3,7,0,0,33,792,0,0,0,0,6,186,0,0,1,6,4,8,0,0,0,0,3,6,0,0,11,11
andrea_ring_000_1_1.pst.17.xls,485,728,1009,246,379,68,58,POOL INV VOL:G4,227,POOL INV VOL:G3,7,0,0,33,792,0,0,0,0,6,186,0,0,1,6,4,8,0,0,0,0,3,6,0,0,11,11
andrea_ring_000_1_1.pst.40.xls,308,479,312,246,156,32,17,Sheet1:G47,14,Sheet1:A20,11,7,64,4,239,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,4,4
andrea_ring_000_1_1.pst.41.xls,582,877,720,652,546,326,231,Aug-2001:B7,19,Customer Pricing:A20,11,9,71,77,403,0,0,0,0,50,128,21,42,0,0,1,2,0,0,1,2,0,0,0,0,72,72
andrea_ring_000_1_1.pst.42.xls,13,29,27,29,27,29,27,Sheet1:E34,3,Sheet1:E64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
andrew_lewis_000_1_1.pst.1.xls,455,456,455,456,455,2,1,Sheet2:A3,455,Sheet2:A3,455,1,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis_000_1_1.pst.12.xls,4355,6069,9301,2787,4399,354,301,Swap:Z3,909,Swap:A7,178,3,207,226,7378,0,0,0,0,16,1617,1,2,0,0,4,8,0,0,0,0,1,2,8,16,42,42
andrew_lewis_000_1_1.pst.3.xls,183,305,305,5,5,5,5,Sheet1:I4,3,Sheet1:I10,2,0,0,5,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andrew_lewis_000_1_1.pst.39.xls,70,139,104,7,5,7,5,MENSA QUESTIONAIRE:D16,4,MENSA QUESTIONAIRE:AJ18,4,0,0,3,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
andrew_lewis_000_1_1.pst.40.xls,6,13,12,13,12,3,2,Crack Spread Option:C5,6,Crack Spread Option:C5,1,0,0,1,6,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper_000_1_1.pst.10.xls,445,778,500,306,262,147,93,summaryJ8T648:H105,22,summaryJ8T648:D123,6,0,0,69,467,2,4,0,0,0,0,3,6,0,0,4,8,0,0,0,0,0,0,0,0,15,15
andy_zipper_000_1_1.pst.103.xls,183,405,465,405,465,243,231,PHYSICAL:H11,5,PHYSICAL:H11,3,0,0,150,300,0,0,0,0,78,156,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper_000_1_1.pst.104.xls,2534,7158,7232,2102,2619,16,14,Deal Detail:B9,522,Deal Detail:K23,2,0,0,12,6188,0,0,0,0,2,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper_000_1_1.pst.106.xls,53457,99885,88905,208,169,176,122,TRANSACTIONSUMMARYREPORT -1:N4780,9,DD-EGL:P29,3,0,0,35,88784,2,4,0,0,15,41,2,4,0,0,2,4,2,4,0,0,0,0,0,0,64,64
