File name,Formulae,Vertices,Edges,InRow Vertices,InRow Edges,TACO Vertices,TACO Edges,Max Dep Ref ,Max Dep,Longest Dep Ref,Longest Dep,RR-Chain-Comp,RR-Chain-NoComp,RR-Comp,RR-NoComp,RF-Comp,RF-NoComp,FR-Comp,FR-NoComp,FF-Comp,FF-NoComp,RR-GapOne,RR-GapOne-NoComp,RR-GapTwo,RR-GapTwo-NoComp,RR-GapThree,RR-GapThree-NoComp,RR-GapFour,RR-GapFour-NoComp,RR-GapFive,RR-GapFive-NoComp,RR-GapSix,RR-GapSix-NoComp,RR-GapSeven,RR-GapSeven-NoComp,NoType,NoType-NoComp
_ab0ff5bf5d06c09401a1c8c90edd6e41_Metric-SpreadSheet-Assignment.xlsx,120,340,220,322,211,33,22,ratings and predictions:I4,3,ratings and predictions:I25,1,0,0,22,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_Análisis y Resolución de Decisiones (DAR).xlsx,16,28,17,28,17,12,6,DAR:D35,7,DAR:D35,2,0,0,3,8,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
_BUDGET.xlsx,70072,124580,129992,99630,110358,36374,26300,Measured TV:E3,1275,Mecra Kırılımı:A2625,13,120,999,16431,96328,0,0,0,0,5955,24551,626,1252,105,210,236,489,564,1128,103,206,1441,2882,17,34,702,702
_combinedSheet_05.xlsx,816,1232,1326,1067,1154,355,243,MatchStatics:C9,58,WinStatics:G6,6,0,0,143,834,0,0,0,0,83,458,1,2,1,2,1,2,0,0,1,2,0,0,0,0,13,13
_SIA1.xlsx,6781,11605,8029,5170,3158,272,192,A1-4 Vehicle model:AI8,1119,A1-4 Vehicle model:N5,35,18,117,121,7402,0,0,0,0,31,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22
_WIZ練習予定表H31(03).xlsx,602,624,602,624,602,188,147,31.1月:D3,31,31.1月:D3,31,0,0,0,0,0,0,0,0,0,0,0,0,98,422,49,180,0,0,0,0,0,0,0,0,0,0
-1432056791.xlsx,638,1273,638,21,12,21,11,data:B8651,4,data:B38,3,0,0,2,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8,8
‘’‘00-5 .xlsx,51184,101971,63718,22448,23286,48,35,Load-Displacement:D542585,1274,Load-Displacement:D43,6,0,0,14,52069,0,0,0,0,11,11638,0,0,1,2,0,0,0,0,0,0,0,0,0,0,9,9
’‘’00-2.xlsx,45145,90239,57655,22746,23238,48,35,Load-Displacement:D143601,755,Load-Displacement:D43,6,0,0,14,46030,0,0,0,0,11,11614,0,0,1,2,0,0,0,0,0,0,0,0,0,0,9,9
(1)27-B.xlsx,100003,200004,100007,12,8,11,6,27-B:A6,2,27-B:A6,2,0,0,3,100004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
(Master) COVID_LHA_CHSA_Data.xlsx,6837,20493,13672,42,38,41,21,CHSA:D6675,18,CHSA:D6,2,0,0,3,13638,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
(Risky- Qori- Panji)_Pom Mini.xlsx,87,249,162,34,22,32,21,Minggu 5:D15,2,Minggu 5:C24,2,0,0,11,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
（总表）大化二中在校生疫苗接种摸底排查登记表.xlsx,13753,27681,18569,13996,9375,58,38,高一高二高三已打:D4596,4574,各班疫苗注射情况:U80,4,0,0,22,18487,0,0,0,0,4,66,2,4,0,0,2,4,0,0,0,0,0,0,0,0,8,8
[002768].xlsx,39554,118662,79108,3,2,3,2,Sheet1:I38223,1,Sheet1:I37262,1,0,0,2,79108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
【AUO OCL_FY21 85AG (SSV) 】 SMLD Quality Data Workbook.xlsx,34012,59969,59718,46961,53147,3397,1711,InProcess Conf:BA682143,9670,Fail list:T5,468,20,1121,870,33704,0,0,0,0,820,24891,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
【CSOT OCL_FY21 75AR (SSV) 】 SMLD Quality Data Workbook.xlsx,34134,60211,59962,47203,53391,3417,1721,InProcess Conf:BA864532,9678,Fail list:T5,468,20,1121,876,33834,0,0,0,0,824,25005,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
【DUKe_OPEN-UII】ED070_メッセージ管理表.xlsx,8746,17489,8746,9455,4729,158,79,メッセージ管理表（SE：諸元管理（編集系））:A3,510,メッセージ管理表（PC：process）:A3,100,0,0,40,4056,36,4686,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2
【东吴银行】老16家上市银行07-17年分行业不良贷款情况.xlsx,7465,13895,17233,6657,12189,1883,1691,工行:AP55,513,中信  :R27,2,0,0,953,9803,0,0,0,0,610,6899,36,72,69,262,2,4,0,0,2,4,0,0,0,0,19,19
【东吴银行】老16家上市银行不良率汇总.xlsx,16515,27638,42563,20401,37519,3054,3280,工行:T34,1433,平安:F24,35,0,0,1522,21033,0,0,0,0,1474,20641,184,368,65,250,3,6,1,2,1,2,0,0,0,0,30,30
【基本設計】画面設計書(処理設計)_画面遷移図.xlsx,28,56,28,2,1,2,1,改訂履歴:G10,1,改訂履歴:G8,1,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
【成本】盈亏预测模型.xlsx,3676,7017,8282,6529,8038,1975,1104,收入和直接成本:D11,72,收入和直接成本:D11,54,1,47,285,4877,0,0,0,0,0,0,0,0,144,672,338,1918,96,288,96,192,144,288,0,0,0,0
【教育部学科】学科门类&一级学科20200710.xlsx,321,403,321,403,321,154,77,教育部学科【全】:B351,17,教育部学科【全】:B351,17,59,281,0,0,0,0,0,0,0,0,13,31,2,4,0,0,1,2,0,0,0,0,1,2,1,1
【模板】MMP、NPS、便利店批量上传.xlsx,474,882,558,485,243,395,198,经营管理数据模板:L73,4,经营管理数据模板:L73,2,0,0,30,374,0,0,0,0,0,0,0,0,1,2,0,0,3,6,5,10,2,4,5,10,152,152
【第8回当日配布料】問題演習_第2回_確率.xlsx,78725,105684,78727,51785,51779,24,16,（演習問題２）NYの気温データ:B14,24757,【解答】（演習問題２）NYの気温データ :B14,24757,4,51766,2,26950,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
【顧問】会議資料181213.xlsx,123182,320197,397731,312729,381824,147815,99656,反響の過去状況:A9,60,月次進捗(事業ALL:AC25,12,4,24,59444,317790,1,7,0,0,38445,77391,11,25,286,805,126,252,0,0,53,106,15,30,30,60,1241,1241
❤考勤登记表2015年12月 .xlsx,135246,223978,294221,73731,115229,3194,1917,门禁:G1709,5914,每天:E1,5,0,0,1791,253390,0,0,0,0,82,35884,12,24,0,0,0,0,1,2,0,0,0,0,0,0,31,31
❤考勤登记表2015年9月 更新.xlsx,119222,198891,257679,61710,95691,2617,1571,门禁:G1454,5261,每天:E1,5,0,0,1439,220962,0,0,0,0,70,30326,0,0,0,0,0,0,1,2,0,0,0,0,0,0,61,61
0.11980167176565-1-Administrador-2021-04-08-2. Subsidios.xlsx,21997,58630,51298,66,51,66,51,SAC:N1773,4,SAC:O1775,3,0,0,51,51298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41147314357174-1-Administrador-2021-07-15-SUBSIDIOS MAYO SAC.xlsx,8540,21350,19215,10,9,10,9,Hoja1:T845,3,Hoja1:T912,2,0,0,9,19215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.xlsx,16497,98982,82485,6,5,6,5,Sheet1:B419,1,Sheet1:C799,1,0,0,5,82485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-Practical example. Confidence intervals_lesson.xlsx,45137,105181,60305,30141,15184,38,34,Al Bundy:C14970,14967,Germany:AM28,3,0,0,28,60213,0,0,0,0,6,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
