0010_21R04-LeMans-FP1_Mech.xlsx,8,16,10,16,10
0010_21R04-LeMans-FP2_Mech.xlsx,8,16,10,16,10
0010_21R04-LeMans-FP3_Mech.xlsx,8,16,10,16,10
0010_21R04-LeMans-FP4_Mech.xlsx,8,16,10,16,10
0010_21R04-LeMans-Hyperpole_Mech.xlsx,8,16,10,16,10
0010_21R04-LeMans-HYP_Mech.xlsx,8,16,10,16,10
0010_21R04-LeMans-QLY_Mech.xlsx,8,16,10,16,10
0010_21R04-LeMans-Race_Mech.xlsx,8,16,10,16,10
001-ATUX_Pantallas_preliminar_v93.xlsx,43,53,47,53,47
001-functions_financial_amortization_schedules.xlsx,7495,10353,18713,10205,16137
001_MDC_NTTR_FUN-MAP.xlsx,312,657,609,484,443
실습001.xlsx,10832,1193,1322,829,818
[002768].xlsx,39554,118662,79108,3,2
’‘’00-2.xlsx,45145,90239,57655,22746,23238
‘’‘00-5 .xlsx,51184,101971,63718,22448,23286
006_ServotechElectricals _COP2.xlsx,27122,43181,59088,232,215
00-Practical example. Confidence intervals_lesson.xlsx,45137,105181,60305,30141,15184
01-12-22 Master VBMS-R Access Tracker.xlsx,19,40,36,40,36
0.11980167176565-1-Administrador-2021-04-08-2. Subsidios.xlsx,21997,58630,51298,66,51
주요-01 유초 연도별 시도별 교육통계 모음(1999-2021)_210901.xlsx,13838,37239,27608,158,84
01-1. ExcelSimulation.xlsx,7687,7773,13916,5383,9485
01.3.neuralnet_excel.xlsx,92320,273554,183520,273554,183520
019bf05d-e5a1-4dc6-958a-835ed3a36292.xlsx,1028,1958,1793,1826,1718
01-Excel_Homework_Instructions_StarterBook.xlsx,16456,37026,24684,9,6
01 FT EG2021_v07.xlsx,11958,23926,11973,40,25
02-06-2018_040754Đề nghị mua của TPB theo danh sách từ ngày 16 - 31.01.2018-2.xlsx,36,107,71,4,3
02-06-2018_040802Đề nghị mua của TPB theo danh sách từ ngày 16 - 31.01.2018-2.xlsx,36,107,71,4,3
02-06-2018_104146Đề nghị mua của TPB theo danh sách từ ngày 16 - 31.01.2018-1.xlsx,36,107,71,4,3
02-06-2018_104242Đề nghị mua của TPB theo danh sách từ ngày 16 - 31.01.2018-1.xlsx,36,107,71,4,3
02-06-2018_105813Đề nghị mua của TPB theo danh sách từ ngày 16 - 31.01.2018-2.xlsx,36,107,71,4,3
02-06-2018_112102Đề nghị mua của TPB theo danh sách từ ngày 16 - 31.01.2018-2.xlsx,36,107,71,4,3
0219447076AP2014.xlsx,133,260,190,256,188
02-2017 ST Giant.xlsx,75,125,121,12,11
02 Financial.xlsx,890,1546,1738,182,180
02-Homework_01-Excel_02-Case-Assignment_Instructions_StarterBook.xlsx,24684,49368,32912,12,8
02-Homework_01-Excel_Instructions_StarterBook.xlsx,20582,41164,24696,12,7
02_IS_COVID19_SOUHRN_risk_2020listopad24.xlsx,103,155,118,155,118
02_IS_COVID19_SOUHRN_risk_2020prosinec02.xlsx,102,153,117,153,117
02_IS_COVID19_SOUHRN_risk_2021leden30.xlsx,101,152,116,152,116
02_IS_COVID19_SOUHRN_risk_2021unor11.xlsx,101,152,116,152,116
02_simplified.xlsx,7721,5349,3709,2032,1453
02 - Tabela_de_Estimativa_Definitiva_de_Tamanho_CFF.xlsx,49,142,126,130,117
03__Internet-tabella_2018-2017-2016-.xlsx,4147,8294,4147,6,3
03_IS_COVID19_DENNI_DATA_risk_vyvoj_20201110.xlsx,54,84,81,84,81
