Memory Storage,Baseline,Test Spreadsheet,Run,Total time of getting dependents (ms)
memOnly,TACO,enron_max1.xls,RUN1,9
memOnly,TACO,enron_max1.xls,RUN2,10
memOnly,TACO,enron_max1.xls,RUN3,9
memOnly,NoComp,enron_max1.xls,RUN1,3343
memOnly,NoComp,enron_max1.xls,RUN2,3381
memOnly,NoComp,enron_max1.xls,RUN3,3448
,Antifreeze,enron_max1.xls,,1000000
memOnly,TACO,enron_max2.xls,RUN1,1177
memOnly,TACO,enron_max2.xls,RUN2,1195
memOnly,TACO,enron_max2.xls,RUN3,1210
memOnly,NoComp,enron_max2.xls,RUN1,16228
memOnly,NoComp,enron_max2.xls,RUN2,18681
memOnly,NoComp,enron_max2.xls,RUN3,17322
,Antifreeze,enron_max2.xls,,1000000
memOnly,TACO,enron_max3.xls,RUN1,994
memOnly,TACO,enron_max3.xls,RUN2,905
memOnly,TACO,enron_max3.xls,RUN3,899
memOnly,NoComp,enron_max3.xls,RUN1,16107
memOnly,NoComp,enron_max3.xls,RUN2,14487
memOnly,NoComp,enron_max3.xls,RUN3,24249
,Antifreeze,enron_max3.xls,,1000000
memOnly,TACO,enron_max4.xls,RUN1,41
memOnly,TACO,enron_max4.xls,RUN2,59
memOnly,TACO,enron_max4.xls,RUN3,42
memOnly,NoComp,enron_max4.xls,RUN1,505
memOnly,NoComp,enron_max4.xls,RUN2,536
memOnly,NoComp,enron_max4.xls,RUN3,537
,Antifreeze,enron_max4.xls,,1000000
memOnly,TACO,enron_max5.xls,RUN1,168
memOnly,TACO,enron_max5.xls,RUN2,84
memOnly,TACO,enron_max5.xls,RUN3,100
memOnly,NoComp,enron_max5.xls,RUN1,378
memOnly,NoComp,enron_max5.xls,RUN2,370
memOnly,NoComp,enron_max5.xls,RUN3,386
,Antifreeze,enron_max5.xls,,1000000
memOnly,TACO,enron_long1.xls,RUN1,1
memOnly,TACO,enron_long1.xls,RUN2,1
memOnly,TACO,enron_long1.xls,RUN3,1
memOnly,NoComp,enron_long1.xls,RUN1,269
memOnly,NoComp,enron_long1.xls,RUN2,299
memOnly,NoComp,enron_long1.xls,RUN3,256
,Antifreeze,enron_long1.xls,,1000000
memOnly,TACO,enron_long2.xls,RUN1,1
memOnly,TACO,enron_long2.xls,RUN2,1
memOnly,TACO,enron_long2.xls,RUN3,1
memOnly,NoComp,enron_long2.xls,RUN1,70
memOnly,NoComp,enron_long2.xls,RUN2,53
memOnly,NoComp,enron_long2.xls,RUN3,42
memOnly,Antifreeze,enron_long2.xls,RUN1,1
memOnly,Antifreeze,enron_long2.xls,RUN2,1
memOnly,Antifreeze,enron_long2.xls,RUN3,1
memOnly,TACO,enron_long3.xls,RUN1,1
memOnly,TACO,enron_long3.xls,RUN2,1
memOnly,TACO,enron_long3.xls,RUN3,1
memOnly,NoComp,enron_long3.xls,RUN1,164
memOnly,NoComp,enron_long3.xls,RUN2,136
memOnly,NoComp,enron_long3.xls,RUN3,176
memOnly,Antifreeze,enron_long3.xls,RUN1,1
memOnly,Antifreeze,enron_long3.xls,RUN2,1
memOnly,Antifreeze,enron_long3.xls,RUN3,1
memOnly,TACO,github_max1.xlsx,RUN1,118
memOnly,TACO,github_max1.xlsx,RUN2,111
memOnly,TACO,github_max1.xlsx,RUN3,115
memOnly,NoComp,github_max1.xlsx,RUN1,13182
memOnly,NoComp,github_max1.xlsx,RUN2,12876
memOnly,NoComp,github_max1.xlsx,RUN3,13279
,Antifreeze,github_max1.xlsx,,1000000
memOnly,TACO,github_max2.xlsx,RUN1,1
memOnly,TACO,github_max2.xlsx,RUN2,1
memOnly,TACO,github_max2.xlsx,RUN3,2
memOnly,NoComp,github_max2.xlsx,RUN1,3251
memOnly,NoComp,github_max2.xlsx,RUN2,3607
memOnly,NoComp,github_max2.xlsx,RUN3,3476
,Antifreeze,github_max2.xlsx,,1000000
memOnly,TACO,github_max3.xlsx,RUN1,3
memOnly,TACO,github_max3.xlsx,RUN2,3
memOnly,TACO,github_max3.xlsx,RUN3,4
memOnly,NoComp,github_max3.xlsx,RUN1,3366
memOnly,NoComp,github_max3.xlsx,RUN2,3602
memOnly,NoComp,github_max3.xlsx,RUN3,3426
,Antifreeze,github_max3.xlsx,,1000000
memOnly,TACO,github_max4.xlsx,RUN1,1
memOnly,TACO,github_max4.xlsx,RUN2,1
memOnly,TACO,github_max4.xlsx,RUN3,1
memOnly,NoComp,github_max4.xlsx,RUN1,1931
memOnly,NoComp,github_max4.xlsx,RUN2,1852
memOnly,NoComp,github_max4.xlsx,RUN3,1946
,Antifreeze,github_max4.xlsx,,1000000
memOnly,TACO,github_max5.xlsx,RUN1,2
memOnly,TACO,github_max5.xlsx,RUN2,1
memOnly,TACO,github_max5.xlsx,RUN3,1
memOnly,NoComp,github_max5.xlsx,RUN1,1196
memOnly,NoComp,github_max5.xlsx,RUN2,1191
memOnly,NoComp,github_max5.xlsx,RUN3,1215
,Antifreeze,github_max5.xlsx,,1000000
memOnly,TACO,github_long1.xlsx,RUN1,1
memOnly,TACO,github_long1.xlsx,RUN2,1
memOnly,TACO,github_long1.xlsx,RUN3,1
memOnly,NoComp,github_long1.xlsx,RUN1,1835
memOnly,NoComp,github_long1.xlsx,RUN2,1879
memOnly,NoComp,github_long1.xlsx,RUN3,1850
,Antifreeze,github_long1.xlsx,,1000000
memOnly,TACO,github_long2.xlsx,RUN1,2
memOnly,TACO,github_long2.xlsx,RUN2,1
memOnly,TACO,github_long2.xlsx,RUN3,1
