Memory Storage,Baseline,Test Spreadsheet,Run,Total time of adding the batch (ms)
DB,TACO,enron_max1.xls,RUN1,24334
DB,TACO,enron_max1.xls,RUN2,24010
DB,TACO,enron_max1.xls,RUN3,24980
DB,NoComp,enron_max1.xls,RUN1,1169708
DB,NoComp,enron_max1.xls,RUN2,1169708
DB,NoComp,enron_max1.xls,RUN3,899490
,Antifreeze,enron_max1.xls,,1000000000
DB,TACO,enron_max2.xls,RUN1,6079
DB,TACO,enron_max2.xls,RUN2,6138
DB,TACO,enron_max2.xls,RUN3,6313
DB,NoComp,enron_max2.xls,RUN1,204885
DB,NoComp,enron_max2.xls,RUN2,173084
DB,NoComp,enron_max2.xls,RUN3,194637
,Antifreeze,enron_max2.xls,,1000000000
DB,TACO,enron_max3.xls,RUN1,5305
DB,TACO,enron_max3.xls,RUN2,5252
DB,TACO,enron_max3.xls,RUN3,5480
DB,NoComp,enron_max3.xls,RUN1,166013
DB,NoComp,enron_max3.xls,RUN2,105620
DB,NoComp,enron_max3.xls,RUN3,131559
,Antifreeze,enron_max3.xls,,1000000000
DB,TACO,enron_max4.xls,RUN1,9475
DB,TACO,enron_max4.xls,RUN2,9673
DB,TACO,enron_max4.xls,RUN3,9667
DB,NoComp,enron_max4.xls,RUN1,184264
DB,NoComp,enron_max4.xls,RUN2,193877
DB,NoComp,enron_max4.xls,RUN3,189190
,Antifreeze,enron_max4.xls,,1000000000
DB,TACO,enron_max5.xls,RUN1,2224
DB,TACO,enron_max5.xls,RUN2,2083
DB,TACO,enron_max5.xls,RUN3,2049
DB,NoComp,enron_max5.xls,RUN1,63029
DB,NoComp,enron_max5.xls,RUN2,58142
DB,NoComp,enron_max5.xls,RUN3,54910
,Antifreeze,enron_max5.xls,,1000000000
DB,TACO,enron_long1.xls,RUN1,6977
DB,TACO,enron_long1.xls,RUN2,7617
DB,TACO,enron_long1.xls,RUN3,7558
DB,NoComp,enron_long1.xls,RUN1,362726
DB,NoComp,enron_long1.xls,RUN2,389441
DB,NoComp,enron_long1.xls,RUN3,427277
,Antifreeze,enron_long1.xls,,1000000000
DB,TACO,enron_long2.xls,RUN1,282
DB,TACO,enron_long2.xls,RUN2,287
DB,TACO,enron_long2.xls,RUN3,292
DB,NoComp,enron_long2.xls,RUN1,7403
DB,NoComp,enron_long2.xls,RUN2,7197
DB,NoComp,enron_long2.xls,RUN3,6231
DB,Antifreeze,enron_long2.xls,RUN1,129260
DB,Antifreeze,enron_long2.xls,RUN2,127260
DB,Antifreeze,enron_long2.xls,RUN3,126260
DB,TACO,enron_long3.xls,RUN1,836
DB,TACO,enron_long3.xls,RUN2,852
DB,TACO,enron_long3.xls,RUN3,864
DB,NoComp,enron_long3.xls,RUN1,23353
DB,NoComp,enron_long3.xls,RUN2,23509
DB,NoComp,enron_long3.xls,RUN3,24787
DB,Antifreeze,enron_long3.xls,RUN1,238267
DB,Antifreeze,enron_long3.xls,RUN2,255594
DB,Antifreeze,enron_long3.xls,RUN3,265914
DB,TACO,github_max1.xlsx,RUN1,86563
DB,TACO,github_max1.xlsx,RUN2,85500
DB,TACO,github_max1.xlsx,RUN3,85905
,NoComp,github_max1.xlsx,,1000000000
,Antifreeze,github_max1.xlsx,,1000000000
DB,TACO,github_max2.xlsx,RUN1,9156
DB,TACO,github_max2.xlsx,RUN2,9415
DB,TACO,github_max2.xlsx,RUN3,9193
DB,NoComp,github_max2.xlsx,RUN1,552160
DB,NoComp,github_max2.xlsx,RUN2,526542
DB,NoComp,github_max2.xlsx,RUN3,608994
,Antifreeze,github_max2.xlsx,,1000000000
DB,TACO,github_max3.xlsx,RUN1,12691
DB,TACO,github_max3.xlsx,RUN2,12747
DB,TACO,github_max3.xlsx,RUN3,13234
DB,NoComp,github_max3.xlsx,RUN1,682514
DB,NoComp,github_max3.xlsx,RUN2,699191
DB,NoComp,github_max3.xlsx,RUN3,722553
,Antifreeze,github_max3.xlsx,,1000000000
DB,TACO,github_max4.xlsx,RUN1,8063
DB,TACO,github_max4.xlsx,RUN2,7696
DB,TACO,github_max4.xlsx,RUN3,7997
