Memory Storage,Baseline,Test Spreadsheet,Run,Total test time (ms),Number of cells to update,Number of cells updated,Total time to update cells (ms),Total time after the update (ms),Total time of getting dependents (ms),Total time of adding the batch (ms),Total time of refreshing the cache (ms),Area under curve
DB,Antifreeze,enron_long2.xls,RUN1,295961,4291,0,69039,0,1,114214,69038,0.0
DB,Antifreeze,enron_long2.xls,RUN2,290290,4291,0,72787,0,1,121456,72785,0.0
DB,Antifreeze,enron_long2.xls,RUN3,349282,4291,0,69589,0,1,144722,69587,0.0
memOnly,Antifreeze,enron_long2.xls,RUN1,31023,4291,0,6112,0,1,12354,6112,0.0
memOnly,Antifreeze,enron_long2.xls,RUN2,31585,4291,0,6217,0,1,12726,6216,0.0
memOnly,Antifreeze,enron_long2.xls,RUN3,31714,4291,0,6243,0,1,12580,6243,0.0
DB,Antifreeze,enron_long3.xls,RUN1,624802,2190,0,113516,0,1,273715,113513,0.0
DB,Antifreeze,enron_long3.xls,RUN2,659074,2190,0,126470,0,1,264287,126468,0.0
DB,Antifreeze,enron_long3.xls,RUN3,677868,2190,0,126100,0,1,291628,126095,0.0
memOnly,Antifreeze,enron_long3.xls,RUN1,355000,2190,0,62076,0,1,148051,62075,0.0
memOnly,Antifreeze,enron_long3.xls,RUN2,350346,2190,0,62359,0,1,144841,62359,0.0
memOnly,Antifreeze,enron_long3.xls,RUN3,349780,2190,0,63991,0,1,139218,63990,0.0
DB,TACO,enron_long1.xls,RUN1,7131,20844,0,58,0,1,6822,55,0.0
DB,TACO,enron_long1.xls,RUN2,8020,20844,0,55,0,2,7722,53,0.0
DB,TACO,enron_long1.xls,RUN3,8146,20844,0,49,0,1,7832,47,0.0
memOnly,TACO,enron_long1.xls,RUN1,8036,20844,0,76,0,1,7711,74,0.0
memOnly,TACO,enron_long1.xls,RUN2,7105,20844,0,42,0,1,6832,40,0.0
memOnly,TACO,enron_long1.xls,RUN3,7081,20844,0,41,0,1,6805,39,0.0
DB,TACO,enron_long2.xls,RUN1,559,4291,0,42,0,1,282,41,0.0
DB,TACO,enron_long2.xls,RUN2,575,4291,0,42,0,1,296,41,0.0
DB,TACO,enron_long2.xls,RUN3,571,4291,0,41,0,1,295,40,0.0
memOnly,TACO,enron_long2.xls,RUN1,533,4291,0,51,0,1,262,50,0.0
memOnly,TACO,enron_long2.xls,RUN2,508,4291,0,46,0,1,241,45,0.0
memOnly,TACO,enron_long2.xls,RUN3,556,4291,0,48,1,1,261,48,0.0
DB,TACO,enron_long3.xls,RUN1,1127,2190,0,65,0,1,817,64,0.0
DB,TACO,enron_long3.xls,RUN2,1144,2190,0,71,0,1,840,70,0.0
DB,TACO,enron_long3.xls,RUN3,1451,2190,0,102,0,1,1054,101,0.0
memOnly,TACO,enron_long3.xls,RUN1,1167,2190,0,80,0,1,861,80,0.0
memOnly,TACO,enron_long3.xls,RUN2,1169,2190,0,87,0,1,840,87,0.0
memOnly,TACO,enron_long3.xls,RUN3,1128,2190,0,74,0,1,822,74,0.0
DB,TACO,enron_max1.xls,RUN1,25680,175497,0,318,0,170,24899,146,0.0
DB,TACO,enron_max1.xls,RUN2,26576,175497,0,345,0,188,25793,155,0.0
DB,TACO,enron_max1.xls,RUN3,26441,175497,0,406,0,232,25552,173,0.0
memOnly,TACO,enron_max1.xls,RUN1,25922,175497,0,172,0,10,25541,160,0.0
memOnly,TACO,enron_max1.xls,RUN2,24556,175497,0,162,0,9,24202,150,0.0
memOnly,TACO,enron_max1.xls,RUN3,25380,175497,0,159,0,10,25040,147,0.0
DB,TACO,enron_max2.xls,RUN1,7003,34662,0,392,0,146,6032,244,0.0
DB,TACO,enron_max2.xls,RUN2,7152,34662,0,385,0,155,6208,229,0.0
DB,TACO,enron_max2.xls,RUN3,7060,34662,0,398,0,171,6136,225,0.0
memOnly,TACO,enron_max2.xls,RUN1,5627,34662,0,80,0,7,5362,72,0.0
memOnly,TACO,enron_max2.xls,RUN2,5789,34662,0,77,0,6,5518,70,0.0
memOnly,TACO,enron_max2.xls,RUN3,6457,34662,0,80,0,7,6174,72,0.0
