Memory Storage,Baseline,Test Spreadsheet,Run,Total test time (ms),Number of cells to update,Number of cells updated,Total time to update cells (ms),Total time after the update (ms),Total time of getting dependents (ms),Total time of adding the batch (ms),Total time of refreshing the cache (ms),Area under curve
DB,TACO,github_long1.xlsx,RUN1,7465,200000,0,39,0,1,6662,38,0.0
DB,TACO,github_long1.xlsx,RUN2,7885,200000,0,42,0,1,6951,41,0.0
DB,TACO,github_long1.xlsx,RUN3,8637,200000,0,49,0,1,7596,48,0.0
memOnly,TACO,github_long1.xlsx,RUN1,7579,200000,0,41,0,1,6747,41,0.0
memOnly,TACO,github_long1.xlsx,RUN2,8314,200000,0,38,0,1,7311,38,0.0
memOnly,TACO,github_long1.xlsx,RUN3,7554,200000,0,33,0,1,6720,33,0.0
DB,TACO,github_long2.xlsx,RUN1,3349,131533,0,29,0,1,2568,28,0.0
DB,TACO,github_long2.xlsx,RUN2,3335,131533,0,32,0,1,2495,30,0.0
DB,TACO,github_long2.xlsx,RUN3,3219,131533,0,22,0,1,2490,21,0.0
memOnly,TACO,github_long2.xlsx,RUN1,3434,131533,0,57,0,1,2524,57,0.0
memOnly,TACO,github_long2.xlsx,RUN2,3442,131533,0,56,0,1,2608,55,0.0
memOnly,TACO,github_long2.xlsx,RUN3,3254,131533,0,54,0,1,2402,54,0.0
DB,TACO,github_long3.xlsx,RUN1,3239,124535,0,27,0,1,2457,26,0.0
DB,TACO,github_long3.xlsx,RUN2,3900,124535,0,28,0,1,3113,26,0.0
DB,TACO,github_long3.xlsx,RUN3,3278,124535,0,22,0,1,2535,21,0.0
memOnly,TACO,github_long3.xlsx,RUN1,3310,124535,0,42,0,1,2566,41,0.0
memOnly,TACO,github_long3.xlsx,RUN2,3959,124535,0,60,0,1,3016,59,0.0
memOnly,TACO,github_long3.xlsx,RUN3,4044,124535,0,49,0,1,3179,48,0.0
DB,TACO,github_max1.xlsx,RUN1,102924,284621,0,7906,0,6650,86222,1252,0.0
DB,TACO,github_max1.xlsx,RUN2,102024,284621,0,7811,0,6596,85462,1212,0.0
DB,TACO,github_max1.xlsx,RUN3,102185,284621,0,7748,0,6543,85827,1200,0.0
memOnly,TACO,github_max1.xlsx,RUN1,86704,284621,0,298,0,105,84959,189,0.0
memOnly,TACO,github_max1.xlsx,RUN2,86921,284621,0,295,0,111,85135,180,0.0
