Memory Storage,Baseline,Test Spreadsheet,Run,Total test time (ms),Number of cells to update,Number of cells updated,Total time to update cells (ms),Total time after the update (ms),Total time of getting dependents (ms),Total time of adding the batch (ms),Total time of refreshing the cache (ms),Area under curve
DB,Antifreeze,enron_long2.xls,RUN1,238468,4291,0,1,0,1,129260,108500,0.0
DB,Antifreeze,enron_long2.xls,RUN2,238468,4291,0,1,0,1,127260,106500,0.0
DB,Antifreeze,enron_long2.xls,RUN3,238468,4291,0,1,0,1,126260,107400,0.0
memOnly,Antifreeze,enron_long2.xls,RUN1,25156,4291,0,5,0,1,12428,11983,0.0
memOnly,Antifreeze,enron_long2.xls,RUN2,24853,4291,0,1,0,1,12549,12285,0.0
memOnly,Antifreeze,enron_long2.xls,RUN3,26301,4291,0,1,0,1,13149,13134,0.0
DB,Antifreeze,enron_long3.xls,RUN1,474857,4382,0,1,0,1,238267,235817,0.0
DB,Antifreeze,enron_long3.xls,RUN2,255723,1,0,1,0,1,255594,235817,0.0
DB,Antifreeze,enron_long3.xls,RUN3,266039,1,0,1,0,1,265914,235817,0.0
memOnly,Antifreeze,enron_long3.xls,RUN1,292208,4382,0,1,0,1,141601,149915,0.0
memOnly,Antifreeze,enron_long3.xls,RUN2,286115,4382,0,1,0,1,143724,142368,0.0
memOnly,Antifreeze,enron_long3.xls,RUN3,296116,4382,0,1,0,1,145593,150497,0.0
DB,TACO,enron_long1.xls,RUN1,7221,20847,0,5,0,4,6977,12,0.0
DB,TACO,enron_long1.xls,RUN2,7839,20847,0,5,0,4,7617,12,0.0
DB,TACO,enron_long1.xls,RUN3,7778,20847,0,5,0,4,7558,11,0.0
memOnly,TACO,enron_long1.xls,RUN1,7016,20847,0,1,0,1,6816,3,0.0
memOnly,TACO,enron_long1.xls,RUN2,6865,20847,0,2,0,1,6658,2,0.0
memOnly,TACO,enron_long1.xls,RUN3,7092,20847,0,1,0,1,6883,3,0.0
DB,TACO,enron_long2.xls,RUN1,485,4291,0,4,0,3,282,4,0.0
DB,TACO,enron_long2.xls,RUN2,495,4291,0,3,0,2,287,4,0.0
DB,TACO,enron_long2.xls,RUN3,500,4291,0,3,0,2,292,4,0.0
memOnly,TACO,enron_long2.xls,RUN1,458,4291,0,1,0,1,263,2,0.0
memOnly,TACO,enron_long2.xls,RUN2,477,4291,0,1,0,1,261,2,0.0
memOnly,TACO,enron_long2.xls,RUN3,441,4291,0,1,0,1,243,1,0.0
DB,TACO,enron_long3.xls,RUN1,1066,4382,0,4,0,3,836,8,0.0
DB,TACO,enron_long3.xls,RUN2,1072,4382,0,4,0,3,852,8,0.0
DB,TACO,enron_long3.xls,RUN3,1099,4382,0,5,0,4,864,8,0.0
memOnly,TACO,enron_long3.xls,RUN1,1074,4382,0,1,0,1,879,2,0.0
memOnly,TACO,enron_long3.xls,RUN2,1007,4382,0,1,0,1,806,2,0.0
memOnly,TACO,enron_long3.xls,RUN3,1057,4382,0,1,0,1,859,2,0.0
DB,TACO,enron_max1.xls,RUN1,24962,175497,0,176,0,173,24334,94,0.0
DB,TACO,enron_max1.xls,RUN2,24651,175497,0,176,0,173,24010,102,0.0
DB,TACO,enron_max1.xls,RUN3,25773,175497,0,199,0,197,24980,99,0.0
memOnly,TACO,enron_max1.xls,RUN1,24660,175497,0,12,0,9,24441,6,0.0
memOnly,TACO,enron_max1.xls,RUN2,25300,175497,0,12,0,10,25103,6,0.0
memOnly,TACO,enron_max1.xls,RUN3,24467,175497,0,11,0,9,24240,6,0.0
DB,TACO,enron_max2.xls,RUN1,11709,36126,0,2537,0,2530,6079,179,0.0
DB,TACO,enron_max2.xls,RUN2,12344,36126,0,2788,0,2781,6138,199,0.0
DB,TACO,enron_max2.xls,RUN3,12812,36126,0,2961,0,2954,6313,173,0.0
memOnly,TACO,enron_max2.xls,RUN1,8298,36126,0,1183,0,1177,5596,12,0.0
memOnly,TACO,enron_max2.xls,RUN2,8087,36126,0,1201,0,1195,5354,12,0.0
memOnly,TACO,enron_max2.xls,RUN3,8423,36126,0,1217,0,1210,5712,11,0.0
DB,TACO,enron_max3.xls,RUN1,10556,32121,0,2425,0,2418,5305,184,0.0
DB,TACO,enron_max3.xls,RUN2,10747,32121,0,2612,0,2605,5252,172,0.0
DB,TACO,enron_max3.xls,RUN3,11441,32121,0,2799,0,2789,5480,211,0.0
memOnly,TACO,enron_max3.xls,RUN1,7358,32121,0,1002,0,994,5159,11,0.0
memOnly,TACO,enron_max3.xls,RUN2,7299,32121,0,911,0,905,5169,15,0.0
memOnly,TACO,enron_max3.xls,RUN3,7156,32121,0,906,0,899,5199,12,0.0
DB,TACO,enron_max4.xls,RUN1,13931,29017,0,2056,0,2052,9475,145,0.0
DB,TACO,enron_max4.xls,RUN2,14345,29017,0,2209,0,2205,9673,132,0.0
DB,TACO,enron_max4.xls,RUN3,14729,29019,0,2412,0,2408,9667,131,0.0
memOnly,TACO,enron_max4.xls,RUN1,9525,29017,0,45,0,41,9325,9,0.0
memOnly,TACO,enron_max4.xls,RUN2,10068,29017,0,63,0,59,9837,8,0.0
memOnly,TACO,enron_max4.xls,RUN3,9595,29017,0,46,0,42,9394,8,0.0
DB,TACO,enron_max5.xls,RUN1,4276,23750,0,898,0,895,2224,165,0.0
DB,TACO,enron_max5.xls,RUN2,4064,23750,0,837,0,833,2083,181,0.0
DB,TACO,enron_max5.xls,RUN3,4089,23750,0,872,0,869,2049,167,0.0
memOnly,TACO,enron_max5.xls,RUN1,2334,23750,0,171,0,168,1939,12,0.0
memOnly,TACO,enron_max5.xls,RUN2,2211,23750,0,88,0,84,1931,12,0.0
memOnly,TACO,enron_max5.xls,RUN3,2331,23750,0,104,0,100,2000,12,0.0
DB,NoComp,enron_long1.xls,RUN1,371354,20847,0,4101,0,4078,362726,0,0.0
DB,NoComp,enron_long1.xls,RUN2,398471,20847,0,4268,0,4245,389441,0,0.0
DB,NoComp,enron_long1.xls,RUN3,434783,20847,0,3505,0,3476,427277,0,0.0
memOnly,NoComp,enron_long1.xls,RUN1,3755,20847,0,292,0,269,2921,0,0.0
memOnly,NoComp,enron_long1.xls,RUN2,3858,20847,0,317,0,299,3004,0,0.0
memOnly,NoComp,enron_long1.xls,RUN3,3799,20847,0,275,1,256,3000,0,0.0
DB,NoComp,enron_long2.xls,RUN1,10321,4291,0,1351,0,1343,7403,1,0.0
DB,NoComp,enron_long2.xls,RUN2,9137,4291,0,858,0,850,7197,1,0.0
DB,NoComp,enron_long2.xls,RUN3,8935,4291,0,1243,0,1234,6231,0,0.0
memOnly,NoComp,enron_long2.xls,RUN1,476,4291,0,81,0,70,76,1,0.0
memOnly,NoComp,enron_long2.xls,RUN2,421,4291,0,61,0,53,77,1,0.0
memOnly,NoComp,enron_long2.xls,RUN3,426,4291,0,50,0,42,77,1,0.0
DB,NoComp,enron_long3.xls,RUN1,25280,4382,0,848,0,835,23353,0,0.0
DB,NoComp,enron_long3.xls,RUN2,24489,4382,0,365,0,352,23509,2,0.0
DB,NoComp,enron_long3.xls,RUN3,26673,4382,0,824,0,815,24787,1,0.0
memOnly,NoComp,enron_long3.xls,RUN1,908,4382,0,175,0,164,301,0,0.0
memOnly,NoComp,enron_long3.xls,RUN2,866,4382,0,147,0,136,273,0,0.0
memOnly,NoComp,enron_long3.xls,RUN3,921,4382,0,187,0,176,286,1,0.0
DB,NoComp,enron_max1.xls,RUN1,1206348,175497,0,17836,0,17704,1169708,1,0.0
DB,NoComp,enron_max1.xls,RUN2,1206348,175497,0,17836,0,17704,1169708,1,0.0
DB,NoComp,enron_max1.xls,RUN3,933695,175497,0,16646,0,16507,899490,1,0.0
memOnly,NoComp,enron_max1.xls,RUN1,14937,175497,0,3499,0,3343,7743,0,0.0
memOnly,NoComp,enron_max1.xls,RUN2,14857,175497,0,3537,0,3381,7596,0,0.0
memOnly,NoComp,enron_max1.xls,RUN3,15060,175497,0,3596,0,3448,7622,0,0.0
DB,NoComp,enron_max2.xls,RUN1,215171,34482,0,5015,0,4967,204885,1,0.0
DB,NoComp,enron_max2.xls,RUN2,182355,34482,0,4500,0,4476,173084,0,0.0
DB,NoComp,enron_max2.xls,RUN3,204691,34482,0,4885,0,4856,194637,1,0.0
memOnly,NoComp,enron_max2.xls,RUN1,34431,36126,0,16254,0,16228,1398,1,0.0
memOnly,NoComp,enron_max2.xls,RUN2,38857,36126,0,18714,0,18681,1193,0,0.0
memOnly,NoComp,enron_max2.xls,RUN3,36210,36126,0,17347,0,17322,1226,0,0.0
DB,NoComp,enron_max3.xls,RUN1,176970,31847,0,5338,0,5309,166013,0,0.0
DB,NoComp,enron_max3.xls,RUN2,114720,31847,0,4496,0,4473,105620,0,0.0
DB,NoComp,enron_max3.xls,RUN3,140688,31847,0,4457,0,4427,131559,0,0.0
memOnly,NoComp,enron_max3.xls,RUN1,33734,33491,0,16133,0,16107,1275,0,0.0
memOnly,NoComp,enron_max3.xls,RUN2,30492,33491,0,14513,1,14487,1176,0,0.0
memOnly,NoComp,enron_max3.xls,RUN3,49971,33491,0,24281,0,24249,1231,0,0.0
DB,NoComp,enron_max4.xls,RUN1,216767,29030,0,16075,0,16043,184264,0,0.0
DB,NoComp,enron_max4.xls,RUN2,223760,29030,0,14937,0,14898,193877,0,0.0
DB,NoComp,enron_max4.xls,RUN3,222307,29030,0,16454,0,16420,189190,0,0.0
memOnly,NoComp,enron_max4.xls,RUN1,3108,29030,0,542,0,505,1723,0,0.0
memOnly,NoComp,enron_max4.xls,RUN2,3313,29030,0,571,0,536,1831,1,0.0
memOnly,NoComp,enron_max4.xls,RUN3,3293,29030,0,578,0,537,1779,0,0.0
DB,NoComp,enron_max5.xls,RUN1,69200,23750,0,3042,0,3024,63029,0,0.0
DB,NoComp,enron_max5.xls,RUN2,66507,23750,0,4135,0,4117,58142,1,0.0
DB,NoComp,enron_max5.xls,RUN3,63678,23750,0,4325,0,4308,54910,1,0.0
memOnly,NoComp,enron_max5.xls,RUN1,1515,23750,0,396,0,378,493,0,0.0
memOnly,NoComp,enron_max5.xls,RUN2,1602,23750,0,388,0,370,582,0,0.0
memOnly,NoComp,enron_max5.xls,RUN3,1555,23750,0,405,0,386,596,0,0.0
