Memory Storage,Baseline,Test Spreadsheet,Run,Total test time (ms),Number of cells to update,Number of cells updated,Total time to update cells (ms),Total time after the update (ms),Total time of getting dependents (ms),Total time of adding the batch (ms),Total time of refreshing the cache (ms),Area under curve
DB,TACO,github_long1.xlsx,RUN1,7718,200000,0,3,0,2,6850,5,0.0
DB,TACO,github_long1.xlsx,RUN2,7990,200000,0,4,0,2,7349,5,0.0
DB,TACO,github_long1.xlsx,RUN3,8221,200000,0,3,0,2,7384,5,0.0
memOnly,TACO,github_long1.xlsx,RUN1,7951,200000,0,2,0,1,7317,2,0.0
memOnly,TACO,github_long1.xlsx,RUN2,8538,200000,0,1,0,1,7714,2,0.0
memOnly,TACO,github_long1.xlsx,RUN3,8121,200000,0,1,0,1,7237,1,0.0
DB,TACO,github_long2.xlsx,RUN1,2930,131533,0,2,0,1,2308,4,0.0
DB,TACO,github_long2.xlsx,RUN2,2929,131533,0,2,0,2,2319,6,0.0
DB,TACO,github_long2.xlsx,RUN3,3017,131533,0,2,0,2,2414,4,0.0
memOnly,TACO,github_long2.xlsx,RUN1,5004,131533,0,3,0,2,2703,2,0.0
memOnly,TACO,github_long2.xlsx,RUN2,2848,131533,0,1,0,1,2254,2,0.0
memOnly,TACO,github_long2.xlsx,RUN3,2838,131533,0,1,0,1,2249,2,0.0
DB,TACO,github_long3.xlsx,RUN1,3032,124535,0,3,0,1,2283,4,0.0
DB,TACO,github_long3.xlsx,RUN2,3449,124535,0,3,0,2,2658,5,0.0
DB,TACO,github_long3.xlsx,RUN3,3400,124535,0,2,0,1,2682,4,0.0
memOnly,TACO,github_long3.xlsx,RUN1,3175,124535,0,1,0,1,2524,2,0.0
memOnly,TACO,github_long3.xlsx,RUN2,3435,124535,0,1,0,1,2812,2,0.0
memOnly,TACO,github_long3.xlsx,RUN3,2970,124535,0,2,0,1,2261,1,0.0
DB,TACO,github_max1.xlsx,RUN1,102376,304083,0,6698,0,6694,86563,1214,0.0
DB,TACO,github_max1.xlsx,RUN2,101190,304083,0,6643,0,6637,85500,1230,0.0
DB,TACO,github_max1.xlsx,RUN3,101080,304083,0,6271,0,6266,85905,1230,0.0
memOnly,TACO,github_max1.xlsx,RUN1,86175,304083,0,122,0,118,84607,97,0.0
memOnly,TACO,github_max1.xlsx,RUN2,84553,304083,0,115,0,111,82937,96,0.0
memOnly,TACO,github_max1.xlsx,RUN3,85647,304083,0,120,0,115,84076,96,0.0
DB,TACO,github_max2.xlsx,RUN1,9713,189107,0,5,0,4,9156,7,0.0
DB,TACO,github_max2.xlsx,RUN2,9867,189107,0,5,0,4,9415,9,0.0
DB,TACO,github_max2.xlsx,RUN3,9711,189107,0,6,0,5,9193,29,0.0
memOnly,TACO,github_max2.xlsx,RUN1,9367,189107,0,3,0,1,8656,2,0.0
memOnly,TACO,github_max2.xlsx,RUN2,8924,189107,0,2,0,1,8459,2,0.0
memOnly,TACO,github_max2.xlsx,RUN3,9773,189107,0,2,0,2,9337,1,0.0
DB,TACO,github_max3.xlsx,RUN1,13266,156396,0,38,0,37,12691,15,0.0
DB,TACO,github_max3.xlsx,RUN2,13321,156396,0,37,0,36,12747,21,0.0
DB,TACO,github_max3.xlsx,RUN3,13848,156396,0,40,0,39,13234,15,0.0
memOnly,TACO,github_max3.xlsx,RUN1,12080,156396,0,4,0,3,11569,2,0.0
memOnly,TACO,github_max3.xlsx,RUN2,12678,156396,0,4,0,3,12188,2,0.0
memOnly,TACO,github_max3.xlsx,RUN3,13220,156396,0,5,0,4,12727,3,0.0
DB,TACO,github_max4.xlsx,RUN1,8582,140157,0,5,0,4,8063,7,0.0
DB,TACO,github_max4.xlsx,RUN2,8248,140157,0,6,0,5,7696,7,0.0
DB,TACO,github_max4.xlsx,RUN3,8523,140157,0,5,0,4,7997,5,0.0
memOnly,TACO,github_max4.xlsx,RUN1,7749,140157,0,1,0,1,7240,2,0.0
memOnly,TACO,github_max4.xlsx,RUN2,8405,140157,0,2,0,1,7888,2,0.0
memOnly,TACO,github_max4.xlsx,RUN3,8322,140157,0,2,0,1,7804,2,0.0
DB,TACO,github_max5.xlsx,RUN1,11888,131456,0,6,0,4,11264,12,0.0
DB,TACO,github_max5.xlsx,RUN2,13369,131456,0,5,0,5,12763,10,0.0
DB,TACO,github_max5.xlsx,RUN3,11949,131456,0,5,0,4,11336,14,0.0
memOnly,TACO,github_max5.xlsx,RUN1,12418,131456,0,2,0,2,11809,1,0.0
memOnly,TACO,github_max5.xlsx,RUN2,12196,131456,0,2,0,1,11612,2,0.0
memOnly,TACO,github_max5.xlsx,RUN3,11576,131456,0,2,0,1,10992,2,0.0
memOnly,NoComp,github_long1.xlsx,RUN1,9049,200000,0,1980,0,1835,4020,0,0.0
memOnly,NoComp,github_long1.xlsx,RUN2,8483,200000,0,2015,0,1879,3761,0,0.0
memOnly,NoComp,github_long1.xlsx,RUN3,8962,200000,0,1990,0,1850,4055,0,0.0
DB,NoComp,github_long2.xlsx,RUN1,946620,131533,0,377049,0,376919,191563,1,0.0
DB,NoComp,github_long2.xlsx,RUN2,971583,131533,0,394135,0,394020,182417,1,0.0
DB,NoComp,github_long2.xlsx,RUN3,928574,131533,0,383667,0,383585,160267,1,0.0
memOnly,NoComp,github_long2.xlsx,RUN1,4379,131533,0,1294,0,1173,1084,1,0.0
memOnly,NoComp,github_long2.xlsx,RUN2,4378,131533,0,1292,0,1211,1111,0,0.0
memOnly,NoComp,github_long2.xlsx,RUN3,4372,131533,0,1266,0,1167,1191,1,0.0
DB,NoComp,github_long3.xlsx,RUN1,912765,124535,0,394901,0,394766,148170,1,0.0
DB,NoComp,github_long3.xlsx,RUN2,870153,124535,0,386447,0,386273,137444,1,0.0
DB,NoComp,github_long3.xlsx,RUN3,884248,124535,0,378211,0,378050,114102,1,0.0
memOnly,NoComp,github_long3.xlsx,RUN1,4411,124535,0,1089,0,991,1151,0,0.0
memOnly,NoComp,github_long3.xlsx,RUN2,4176,124535,0,1071,0,962,1196,0,0.0
memOnly,NoComp,github_long3.xlsx,RUN3,4397,124535,0,1127,0,1046,1261,1,0.0
memOnly,NoComp,github_max1.xlsx,RUN1,50100,304083,0,13432,0,13182,20860,0,0.0
memOnly,NoComp,github_max1.xlsx,RUN2,48561,304083,0,13103,0,12876,20782,1,0.0
memOnly,NoComp,github_max1.xlsx,RUN3,49449,304083,0,13490,0,13279,20615,0,0.0
DB,NoComp,github_max2.xlsx,RUN1,583269,189107,0,15241,0,15042,552160,0,0.0
DB,NoComp,github_max2.xlsx,RUN2,547408,189107,0,10064,0,9862,526542,0,0.0
DB,NoComp,github_max2.xlsx,RUN3,636268,189107,0,13231,0,13057,608994,0,0.0
memOnly,NoComp,github_max2.xlsx,RUN1,11294,189107,0,3402,0,3251,3840,0,0.0
memOnly,NoComp,github_max2.xlsx,RUN2,11999,189107,0,3727,0,3607,3928,1,0.0
memOnly,NoComp,github_max2.xlsx,RUN3,11761,189107,0,3582,0,3476,3966,1,0.0
DB,NoComp,github_max3.xlsx,RUN1,791540,156396,0,54100,0,53849,682514,1,0.0
DB,NoComp,github_max3.xlsx,RUN2,811019,156396,0,55383,0,55109,699191,1,0.0
DB,NoComp,github_max3.xlsx,RUN3,835894,156396,0,56265,0,56074,722553,0,0.0
memOnly,NoComp,github_max3.xlsx,RUN1,12670,156396,0,3562,0,3366,4664,0,0.0
memOnly,NoComp,github_max3.xlsx,RUN2,13094,156396,0,3847,0,3602,4608,1,0.0
memOnly,NoComp,github_max3.xlsx,RUN3,12388,156396,0,3652,0,3426,4606,1,0.0
DB,NoComp,github_max4.xlsx,RUN1,689425,140161,0,100516,0,100320,489082,2,0.0
DB,NoComp,github_max4.xlsx,RUN2,697106,140161,0,99457,0,99304,495447,2,0.0
DB,NoComp,github_max4.xlsx,RUN3,774613,140161,0,97971,0,97809,578166,1,0.0
memOnly,NoComp,github_max4.xlsx,RUN1,8086,140161,0,2078,0,1931,3353,0,0.0
memOnly,NoComp,github_max4.xlsx,RUN2,8165,140161,0,1970,0,1852,3453,1,0.0
memOnly,NoComp,github_max4.xlsx,RUN3,8294,140161,0,2090,0,1946,3447,1,0.0
DB,NoComp,github_max5.xlsx,RUN1,1012923,131456,0,113491,0,113355,784859,0,0.0
DB,NoComp,github_max5.xlsx,RUN2,991422,131456,0,114825,0,114678,760697,1,0.0
DB,NoComp,github_max5.xlsx,RUN3,943465,131456,0,114186,0,114042,714078,1,0.0
memOnly,NoComp,github_max5.xlsx,RUN1,7844,131456,0,1295,0,1196,4606,1,0.0
memOnly,NoComp,github_max5.xlsx,RUN2,7814,131456,0,1320,0,1191,4505,0,0.0
memOnly,NoComp,github_max5.xlsx,RUN3,8066,131456,0,1341,0,1215,4716,0,0.0
