timestamp,execution_type,time,pairing,goal
09-06-19:49:03,NoShare-Uniform,91.443,pairA,1.0
09-06-19:57:34,NoShare-Uniform,90.494,pairA,1.0
09-06-20:06:15,NoShare-Uniform,90.568,pairA,1.0
09-06-19:22:36,NoShare-Uniform,95.234,pairA,0.5
09-06-19:31:23,NoShare-Uniform,91.446,pairA,0.5
09-06-19:40:16,NoShare-Uniform,94.238,pairA,0.5
09-06-18:54:26,NoShare-Uniform,91.255,pairA,0.2
09-06-19:03:59,NoShare-Uniform,95.341,pairA,0.2
09-06-19:13:18,NoShare-Uniform,93.937,pairA,0.2
09-06-18:23:07,NoShare-Uniform,95.112,pairA,0.1
09-06-18:33:36,NoShare-Uniform,98.649,pairA,0.1
09-06-18:44:09,NoShare-Uniform,93.845,pairA,0.1
09-16-11:39:51,NoShare-Uniform,92.776,pairA,2.0
09-16-11:44:00,NoShare-Uniform,91.564,pairA,2.0
09-16-11:48:12,NoShare-Uniform,90.22,pairA,2.0
09-06-22:03:05,NoShare-Uniform,70.189,pairB,1.0
09-06-22:12:13,NoShare-Uniform,65.296,pairB,1.0
09-06-22:21:32,NoShare-Uniform,66.694,pairB,1.0
09-06-21:34:10,NoShare-Uniform,67.859,pairB,0.5
09-06-21:43:50,NoShare-Uniform,70.759,pairB,0.5
09-06-21:53:29,NoShare-Uniform,70.423,pairB,0.5
09-06-21:02:44,NoShare-Uniform,73.179,pairB,0.2
09-06-21:13:15,NoShare-Uniform,74.121,pairB,0.2
09-06-21:23:51,NoShare-Uniform,74.607,pairB,0.2
09-06-20:14:54,NoShare-Uniform,75.631,pairB,0.1
09-06-20:30:57,NoShare-Uniform,78.271,pairB,0.1
09-06-20:46:59,NoShare-Uniform,75.983,pairB,0.1
09-07-01:01:16,NoShare-Uniform,46.754,pairC,1.0
09-07-01:08:16,NoShare-Uniform,47.201,pairC,1.0
09-07-01:15:12,NoShare-Uniform,48.52,pairC,1.0
09-07-00:38:26,NoShare-Uniform,50.44,pairC,0.5
09-07-00:46:05,NoShare-Uniform,53.188,pairC,0.5
09-07-00:53:45,NoShare-Uniform,52.115,pairC,0.5
09-07-00:08:56,NoShare-Uniform,54.097,pairC,0.2
09-07-00:18:45,NoShare-Uniform,55.081,pairC,0.2
09-07-00:28:39,NoShare-Uniform,54.212,pairC,0.2
09-06-23:31:18,NoShare-Uniform,60.215,pairC,0.1
09-06-23:43:58,NoShare-Uniform,61.766,pairC,0.1
09-06-23:56:37,NoShare-Uniform,60.584,pairC,0.1
09-16-11:51:37,NoShare-Uniform,46.513,pairC,2.0
09-16-11:54:36,NoShare-Uniform,47.792,pairC,2.0
09-16-11:57:32,NoShare-Uniform,46.838,pairC,2.0
09-06-19:55:16,NoShare-Nonuniform,90.799,pairA,1.0
09-06-20:03:56,NoShare-Nonuniform,93.268,pairA,1.0
09-06-20:12:33,NoShare-Nonuniform,90.77,pairA,1.0
09-06-19:29:01,NoShare-Nonuniform,90.322,pairA,0.5
09-06-19:37:51,NoShare-Nonuniform,92.362,pairA,0.5
09-06-19:46:44,NoShare-Nonuniform,92.891,pairA,0.5
09-06-19:01:30,NoShare-Nonuniform,94.112,pairA,0.2
09-06-19:10:51,NoShare-Nonuniform,92.76,pairA,0.2
09-06-19:20:12,NoShare-Nonuniform,92.775,pairA,0.2
09-06-18:30:58,NoShare-Nonuniform,96.572,pairA,0.1
09-06-18:41:36,NoShare-Nonuniform,100.907,pairA,0.1
09-06-18:52:02,NoShare-Nonuniform,96.302,pairA,0.1
09-06-22:10:15,NoShare-Nonuniform,68.11081255585674,pairB,1.0
09-06-22:19:33,NoShare-Nonuniform,68.22381255585674,pairB,1.0
09-06-22:28:43,NoShare-Nonuniform,67.48481255585673,pairB,1.0
09-06-21:41:44,NoShare-Nonuniform,71.80181255585674,pairB,0.5
09-06-21:51:23,NoShare-Nonuniform,71.20481255585675,pairB,0.5
09-06-22:01:02,NoShare-Nonuniform,72.64081255585674,pairB,0.5
09-06-21:10:58,NoShare-Nonuniform,73.98081255585674,pairB,0.2
09-06-21:21:34,NoShare-Nonuniform,75.06681255585674,pairB,0.2
09-06-21:32:06,NoShare-Nonuniform,72.02581255585675,pairB,0.2
09-06-20:28:27,NoShare-Nonuniform,78.70481255585675,pairB,0.1
