timestamp,execution_type,time,order,goal,query_set,constraint_type,q15
09-15-22:28:15,NoShare-Uniform,401.323,0,1.0,Ten TPC-H Queries,uniform,False
09-15-20:09:12,NoShare-Uniform,428.333,0,0.5,Ten TPC-H Queries,uniform,False
09-15-17:35:57,NoShare-Uniform,463.87,0,0.2,Ten TPC-H Queries,uniform,False
09-15-06:46:40,NoShare-Uniform,846.721,0,0.5,Ten TPC-H Queries Twice with Different Parameters,uniform,False
09-15-11:07:58,NoShare-Uniform,797.373,0,1.0,Ten TPC-H Queries Twice with Different Parameters,uniform,False
09-14-11:09:30,NoShare-Uniform,620.219,0,1.0,All TPC-H Queries,uniform,False
09-14-06:57:52,NoShare-Uniform,674.502,0,0.5,All TPC-H Queries,uniform,False
09-15-14:40:05,NoShare-Uniform,501.206,0,0.1,Ten TPC-H Queries,uniform,False
09-15-20:57:25,NoShare-Uniform,393.388,0,1.0,Ten TPC-H Queries,uniform,False
09-15-18:30:30,NoShare-Uniform,425.764,0,0.5,Ten TPC-H Queries,uniform,False
09-15-15:44:48,NoShare-Uniform,458.472,0,0.2,Ten TPC-H Queries,uniform,False
09-15-12:27:25,NoShare-Uniform,495.445,0,0.1,Ten TPC-H Queries,uniform,False
09-15-13:33:34,NoShare-Uniform,508.762,0,0.1,Ten TPC-H Queries,uniform,False
09-15-21:43:12,NoShare-Uniform,398.581,0,1.0,Ten TPC-H Queries,uniform,False
09-15-19:19:58,NoShare-Uniform,430.194,0,0.5,Ten TPC-H Queries,uniform,False
09-15-16:40:21,NoShare-Uniform,457.823,0,0.2,Ten TPC-H Queries,uniform,False
09-15-01:50:26,NoShare-Uniform,915.124,0,0.2,Ten TPC-H Queries Twice with Different Parameters,uniform,False
09-14-02:09:42,NoShare-Uniform,702.231,0,0.2,All TPC-H Queries,uniform,False
09-14-00:15:43,NoShare-Uniform,767.709,0,0.1,All TPC-H Queries,uniform,False
09-14-23:59:31,NoShare-Uniform,908.546,0,0.2,Ten TPC-H Queries Twice with Different Parameters,uniform,False
09-15-08:19:09,NoShare-Uniform,792.668,0,1.0,Ten TPC-H Queries Twice with Different Parameters,uniform,False
09-15-03:39:34,NoShare-Uniform,862.183,0,0.5,Ten TPC-H Queries Twice with Different Parameters,uniform,False
09-14-22:07:50,NoShare-Uniform,919.625,0,0.2,Ten TPC-H Queries Twice with Different Parameters,uniform,False
09-14-15:09:42,NoShare-Uniform,992.57,0,0.1,Ten TPC-H Queries Twice with Different Parameters,uniform,False
09-15-05:13:29,NoShare-Uniform,845.551,0,0.5,Ten TPC-H Queries Twice with Different Parameters,uniform,False
09-15-09:43:35,NoShare-Uniform,807.93,0,1.0,Ten TPC-H Queries Twice with Different Parameters,uniform,False
